views;respects;tot_recommendations
8234;8;316
2550;19;61
30628;103;175
3545;8;341
3673;4;24
2990;6;2
4129;8;0
2130;5;354
10077;13;420
2309;3;317
5055;14;36
3546;6;0
8716;13;321
12202;10;331
3730;8;3
24158;33;45
77191;17;316
17431;32;316
1692;7;333
1430;3;22
1369;6;316
3140;12;333
19174;30;318
9214;35;0
1800;6;126
27889;96;36
30877;70;36
2491;5;379
15939;26;36
13919;37;14
7970;27;486
13696;7;316
21914;24;330
68507;93;45
9398;15;72
28138;14;498
33403;31;332
5103;14;429
3238;13;316
5479;10;446
14443;35;316
14866;17;408
3953;4;38
168823;40;0
17682;24;316
3412;13;141
5105;9;368
3630;9;30
5889;13;58
5977;11;410
5490;3;316
1836;4;22
2242;7;316
3173;1;69
3595;8;22
3973;10;318
6306;16;3
3487;5;7
27233;135;36
1865;4;55
9865;5;316
4418;13;383
2058;4;318
15190;25;316
1105;2;29
22909;19;353
9285;22;36
47571;26;406
8217;23;319
10908;41;316
4483;11;7
13794;36;22
2119;4;316
35369;15;316
6973;7;36
1346;0;36
2521;13;14
5747;9;36
11206;32;316
3813;10;318
15440;10;1
23897;82;22
2720;5;0
7041;19;41
17686;27;316
4976;25;320
17809;14;22
26644;58;62
3239;11;435
6973;19;107
10722;29;369
43825;249;316
9962;9;36
2805;5;7
3273;1;35
11456;24;342
10194;20;36
6478;10;51
5794;6;36
2576;5;330
1244;3;67
2334;4;32
16684;25;0
10425;19;47
6209;1;47
20396;25;361
2614;8;45
5728;12;80
4483;6;316
1953;4;101
11953;50;2
4473;25;75
2420;14;50
20419;53;316
16096;20;361
1793;1;93
11455;13;316
11954;26;80
11955;13;316
8762;13;420
4648;5;380
25150;72;0
20550;28;99
25861;15;36
6065;28;36
5772;7;414
6630;9;46
1822;0;2
2810;5;367
35443;27;316
15571;17;7
2755;14;328
5377;22;418
4799;22;151
5652;8;386
7222;17;316
7061;35;7
34363;22;366
8467;6;3
12451;36;36
9961;15;316
1994;2;38
4262;10;316
2350;10;316
13696;27;22
99812;56;316
15121;36;316
4638;5;2
10711;56;38
6973;9;378
6799;15;316
15835;87;36
84318;26;316
1548;3;406
23159;27;316
5951;8;7
6756;19;1
6735;17;74
8340;55;39
13629;5;361
22871;16;318
2740;4;406
9767;14;1
6407;28;118
6724;24;7
8218;12;40
3035;5;36
4981;13;326
5196;1;338
2491;4;316
5592;9;316
23158;36;316
45524;51;411
4606;6;7
2712;8;316
15691;39;36
19921;17;22
5479;6;316
3207;6;0
2926;4;36
2400;3;81
26644;64;98
9380;24;316
3157;12;0
16445;48;125
74278;33;385
11894;31;112
4090;17;316
22411;45;22
3990;9;373
11192;31;406
4252;10;388
4864;22;321
1449;4;316
14941;50;0
3681;12;78
15688;41;112
18010;55;316
15688;19;94
4199;13;17
52292;17;316
5367;12;36
2332;8;41
2194;7;318
1514;3;22
85408;38;361
11953;9;479
8206;10;316
45568;96;116
32371;72;61
5623;5;147
9859;45;388
84174;12;316
20761;17;330
5451;19;350
2708;11;345
4354;2;406
10985;18;316
748;7;316
8772;13;7
4484;20;316
11437;34;0
5866;13;406
9373;26;0
16788;63;335
20917;51;42
6226;8;4
5919;3;36
22823;28;316
7652;3;316
59158;330;36
4527;11;22
11206;56;95
12583;16;2
9230;21;428
51295;126;352
14692;27;67
11704;31;316
22660;64;316
6177;16;47
8219;7;316
7222;19;380
51046;150;2
9961;26;24
4018;7;82
1912;8;0
2394;3;332
10855;34;335
4026;11;403
3504;8;0
1448;3;0
1088;3;0
9701;27;316
2431;3;17
1812;3;0
12628;24;0
15937;33;22
26321;21;9
14186;14;349
18925;37;40
14942;17;0
2707;9;406
15937;34;316
7721;20;22
6335;33;316
13028;27;36
4003;5;4
9750;29;0
22008;32;632
49054;106;370
49111;66;361
7641;37;335
3344;9;102
13749;26;1
4359;10;373
5751;9;0
6234;14;316
1826;6;319
4487;8;3
6918;16;14
2031;10;316
4885;20;316
4982;5;101
6010;15;1
40837;26;316
164092;84;320
20419;51;361
3198;10;7
13198;17;36
2948;6;366
76834;17;0
1716;3;338
225347;48;361
5919;18;36
13529;52;405
1690;3;316
9712;16;47
17355;77;316
14941;13;59
8467;12;316
9072;21;0
8361;22;7
40339;27;330
3269;6;36
8712;14;316
7978;26;341
7273;25;36
16457;85;36
9592;57;0
17321;42;23
1758;8;91
14345;13;36
4719;12;22
5429;14;316
2773;6;371
13078;24;22
10186;21;22
291054;61;0
4270;13;369
5531;10;59
5246;5;36
15256;21;1
5479;12;5
41764;16;316
44821;49;373
27671;60;316
2553;3;126
12700;33;366
97254;75;161
8326;10;36
